"Tag Number",QTY,"Selling Price"
TN_160001,1,5508.47
TN_160002,1,5508.47
TN_160003,1,5508.47
TN_160004,1,5508.47
TN_160005,1,5508.47
TN_160006,1,5508.47
TN_160007,1,5508.47
TN_160008,1,5508.47
TN_160009,1,5508.47
TN_160010,1,5508.47
TN_160011,1,5508.47
TN_160012,1,5508.47
TN_160013,1,5508.47
TN_160014,1,5508.47
TN_160015,1,5508.47
TN_160016,1,5508.47
TN_160017,1,5508.47
TN_160018,1,5508.47
TN_160019,1,5508.47
TN_160020,1,5508.47
TN_160021,1,5508.47
TN_160022,1,5508.47
TN_160023,1,5508.47
TN_160024,1,5508.47
TN_160025,1,5508.47
TN_160026,1,5508.47
TN_160027,1,5508.47
TN_160028,1,5508.47
TN_160029,1,5508.47
TN_160030,1,5508.47
TN_160031,1,5508.47
TN_160032,1,5508.47
TN_160033,1,5508.47
TN_160034,1,5508.47
7845,1,5508.47
5421,1,5508.47
2545,1,5508.47
3254,1,5508.47
5432,1,5508.47
1258,1,5508.47
4565,1,5508.47
1256,1,5508.47
1584,1,5508.47
6545,1,5508.47
,1,5508.47
8544,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
TN1212,1,5508.47
TN1213,1,5508.47
TN1214,1,5508.47
TN1215,1,5508.47
TN1216,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
,1,5508.47
TN_160035,1,5508.47
TN_160036,1,5508.47
TN_160037,1,5508.47
TN_160038,1,5508.47
TN_160039,1,5508.47
TN_160040,1,5508.47
TN_160041,1,5508.47
TN_160042,1,5508.47
TN_160043,1,5508.47
TN_160044,1,5508.47
TN_160045,1,5508.47
TN_160046,1,5508.47
TN_160047,1,5508.47
TN_160048,1,5508.47
TN_160049,1,5508.47
TN_160050,1,5508.47
TN_160051,1,5508.47
TN_160052,1,5508.47
TN_160053,1,5508.47
TN_160054,1,5508.47
TN_160055,1,5508.47
TN_160056,1,5508.47
TN_160057,1,5508.47
TN_160058,1,5508.47
TN_160059,1,5508.47
TN_160060,1,5508.47
TN_160061,1,5508.47
TN_160062,1,5508.47
TN_160063,1,5508.47
TN_160064,1,5508.47
TN_160065,1,5508.47
TN_160066,1,5508.47
TN_160067,1,5508.47
TN_160068,1,5508.47
TN_160069,1,5508.47
TN_160070,1,5508.47
TN_160071,1,5508.47
TN_160072,1,5508.47
TN_160073,1,5508.47
TN_160074,1,5508.47
TN_160075,1,5508.47
TN_160076,1,5508.47
TN_160077,1,5508.47
TN_160078,1,5508.47
TN_160079,1,5508.47
TN_160080,1,5508.47
TN_160081,1,5508.47
TN_160082,1,5508.47
TN_160083,1,5508.47
TN_160084,1,5508.47
TN_160085,1,5508.47
TN_160086,1,5508.47
TN_160087,1,5508.47
TN_160088,1,5508.47
TN_160089,1,5508.47
TN_160090,1,5508.47
TN_160091,1,5508.47
TN_160092,1,5508.47
TN_160093,1,5508.47
TN_160094,1,5508.47
TN_160095,1,5508.47
TN_160096,1,5508.47
TN_160097,1,5508.47
TN_160098,1,5508.47
TN_160099,1,5508.47
TN_160100,1,5508.47
TN_160101,1,5508.47
